timestamp,symbol,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,mid_price,label
1778818099424881000,BTCUSDT,0.27573720,0.03000772,0.50000000,0.00000000,0.89090300,0.00000000,0.00030008,0.00000000,0.00000015,0.50000000,81079.14500000,0
1778818099525025000,BTCUSDT,0.99989635,0.00789282,1.00000000,0.00000570,0.99131703,0.00008585,0.00027057,0.00000000,0.00001666,0.50000000,81086.39000000,0
1778818099625831000,BTCUSDT,-0.67559946,0.00001233,0.96719038,0.00000645,0.16351686,0.00004463,0.00023452,0.00000000,0.00001664,0.50000000,81083.19500000,0
1778818099724630000,BTCUSDT,-0.63933289,0.00001233,0.96719038,0.00000655,0.22199461,0.00004288,0.00020326,0.00000000,0.00001107,0.50000000,81083.19500000,0
1778818099824513000,BTCUSDT,-0.63932472,0.00001233,0.96719038,0.00000623,0.22185311,0.00004119,0.00017618,0.00000000,0.00001107,0.50000000,81083.19500000,0
1778818099923833000,BTCUSDT,-0.63932472,0.00001233,0.96719038,0.00000565,0.22162169,0.00003958,0.00015271,0.00000000,0.00001107,0.50000000,81083.19500000,0
1778818100025007000,BTCUSDT,-0.63931906,0.00001233,0.96719038,0.00000491,0.20864984,0.00003803,0.00013236,0.00000000,0.00001107,0.50000000,81083.19500000,0
1778818100124473000,BTCUSDT,-0.63854015,0.00001233,0.96719038,0.00000412,0.20879725,0.00003653,0.00011473,0.00000000,0.00001110,0.50000000,81083.19500000,0
1778818100223878000,BTCUSDT,-0.63945150,0.00001233,0.96719038,0.00000331,0.20840532,0.00003510,0.00009945,0.00000000,0.00001106,0.50000000,81083.19500000,0
1778818100323620000,BTCUSDT,-0.63854015,0.00001233,0.96719038,0.00000253,0.20879725,0.00003373,0.00008621,0.00000000,0.00001110,0.50000000,81083.19500000,0
1778818100424961000,BTCUSDT,-0.63854015,0.00001233,0.96719038,0.00000181,0.20879725,0.00003240,0.00007473,0.00000000,0.00001110,0.50000000,81083.19500000,0
1778818100525171000,BTCUSDT,-0.63849682,0.00001233,0.96719038,0.00000115,0.20881954,0.00003113,0.00006478,0.00000000,0.00001110,0.50000000,81083.19500000,0
1778818100625127000,BTCUSDT,-0.62977570,0.00001233,0.96719038,0.00000057,0.21401648,0.00002991,0.00005616,0.00000000,0.00001133,0.50000000,81083.19500000,0
1778818100730754000,BTCUSDT,-0.62887490,0.00001233,0.96719038,0.00000007,0.21462123,0.00002874,0.00004869,0.00000000,0.00001137,0.50000000,81083.19500000,0
1778818100824002000,BTCUSDT,-0.62887490,0.00001233,0.96719038,-0.00000037,0.19580956,0.00002761,0.00004221,0.00000000,0.00001117,0.50000000,81083.19500000,0
1778818100924408000,BTCUSDT,-0.62977570,0.00001233,0.96719038,-0.00000073,0.19540407,0.00002653,0.00003660,0.00000000,0.00001114,0.50000000,81083.19500000,0
1778818101025400000,BTCUSDT,-0.62964332,0.00001233,0.96719038,-0.00000103,0.21429132,0.00002549,0.00003174,0.00000000,0.00001134,0.50000000,81083.19500000,0
1778818101123887000,BTCUSDT,-0.62977570,0.00001233,0.96719038,-0.00000127,0.21423450,0.00002449,0.00002752,0.00000000,0.00001133,0.50000000,81083.19500000,0
1778818101224594000,BTCUSDT,-0.62994176,0.00001233,0.96719038,-0.00000146,0.19576040,0.00002353,0.00002387,0.00000000,0.00001113,0.50000000,81083.19500000,0
1778818101323866000,BTCUSDT,-0.64875776,0.00001233,0.96719038,-0.00000160,0.16445164,0.00002261,0.00002070,0.00000000,0.00001239,0.50000000,81083.19500000,0
1778818101423680000,BTCUSDT,-0.64871740,0.00001233,0.96719038,-0.00000170,0.19276372,0.00002172,0.00001796,0.00000000,0.00001087,0.50000000,81083.19500000,0
